"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","1171000000","1340000000","1483000000","883000000","2005310000","4948400000","7788180000","4921550000","9334800000","10108440000","15263050000","22661000000","57498550000","40964150000","43548950000","40186100000","45671250000","42055310000","66719950000","99588430000","98197350000","144964000000","150211750000","155533610000","198808400000","213223310000","240570260000","290946000000","421669680000","544922320000","612669600000","858943720000","1373259640000","839733940000","841481100000","1131337350000","1128482900000","905665740000","787881310000","703485810000","750636340000","794977154799.654","842771714903.792","774026908423.875","834226020000","1226164220000","",
"Austria","AUT","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","67000000","96000000","74000000","85000000","91200000","105300000","84300000","73100000","132600000","113400000","801730000","1195600000","1383730000","1989650000","26209560000","57671350000","7685860000","4757560000","6586150000","8772950000","13000810000","10338400000","12071580000","18056390000","11813170000","9665760000","7313690000","6507290000","12035820000","25927690000","43328140000","82970200000","129135230000","98137240000","51509760000","48838610000","38787870000","23639550000","26528040000","28719260000","31732950000","26552486712.2248","39986893431.8602","39431841593.2242","33479930000","39779610000","",
"Azerbaijan","AZE","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","576010000","661000000","620000000","723000000","1056010000","772530000","621220000","1034380000","1315560000","1442630000","2211400000","4801260000","8049500000","8238000000","8493120000","7285890000","6761040000","7770800000","10556370000","12992300000","15196200000","21877400000","28467060000","58960900000","50562290000","38584170000","37775700000","38167730000","41355490000","75105190000","106522720000","135253470000","231569720000","190715380000","123238720000","107418060000","103250420000","100925430000","115306850000","107247760000","","","","","","","",
"Benin","BEN","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14800000","107700000","150060000","852940000","569150000","1008800000","968390000","935530000","261100000","","","248100000","205560000","236490000","707840000","1461690000","2339290000","4837590000","2224437040","1443100000","1235919200","15809430000","13612290000","15320840000","26503040000","16142121137.697","13126870000","14920160000","",
"Bulgaria","BGR","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2200000","2200000","4200000","9690000","43330000","146110000","5800000","4110000","70300000","163100000","116210000","458150000","781480000","1868260000","6784270000","1314850000","487090000","377250000","321870000","362000000","879600000","","","","","","170420000","212590000","",
"Bahrain","BHR","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160200000","106100000","176700000","479500000","576390000","445390000","245440000","191500000","215000000","266730000","311640000","702290000","1381120000","1044720000","2083620000","466280000","287560000","156130000","278400000","604600000","717800000","294040000","332914102.221033","562999038.223297","969893333.333333","759730000","592970000","",
"Bahamas, The","BHS","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25060000","8440000","18380000","21990000","14200000","14970000","6050000","",
"Belize","BLZ","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32100000","35700000","96400000","97600000","226000000","136000000","213000000","92000000","50720000","63970000","68350000","157000000","161920000","102000000","30990000","104510000","18730000","29260000","44100000","23670000","15310000","216970000","39140000","49150000","22750000","","",
"Bolivia","BOL","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","3243400000","5375700000","6183900000","5925400000","3508700000","7413700000","16579730000","28909560000","9826800000","6100000000","4152600000","5842900000","11767600000","23062200000","35188000000","81758100000","78902600000","116128300000","217399100000","172862330000","158849900000","94051280000","64476950000","39374690000","70478750000","113682350000","170920010000","279476770000","645438740000","569862390000","707866810000","908131940000","824916470000","831638950000","739678310000","644171360000","419977770000","561080859110.756","642502620122.419","769196108517.936","1038725260000","1373595920000","",
"Barbados","BRB","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4400000","5700000","3110000","6160000","23170000","31830000","10190000","48100000","10300000","","","","","","","","","33600000","117180000","16000000","6400000","8700000","","","","","13790000","6260000","",
"Brunei Darussalam","BRN","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30000000","37910000","28510000","56400000","66250000","36710000","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","5208850000","6368860000","6667000000","10159000000","18077390000","27156300000","23686730000","16468200000","28169400000","25308240000","38991270000","57184660000","93254500000","68777140000","89380290000","68125140000","73335290000","75705320000","133358660000","156142060000","183405600000","264981700000","337957940000","356701110000","392672780000","628487350000","445950640000","448461700000","506548290000","706494160000","932109740000","1237142820000","1744996560000","1502829750000","1332847390000","1404844510000","1473875430000","1347972580000","1323581430000","1343788840000","1096074730000","1153366674108.8","1280149390000","1373654878943.51","1432565050000","1010509350000","",
"Central Europe and the Baltics","CEB","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2231100000","7340700000","7009000000","15174890000","16632600000","16593780000","16504570000","29137080000","16256940000","18499800000","28202350000","54909310000","86248090000","119503790000","192169120000","118662660000","115277360000","121880540000","114467800000","92114060000","99088760000","78472250000","62616090000","55796557459.0509","81569123999.5316","67695136406.4403","61755780000","102577630000","",
"Switzerland","CHE","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","31659000000","43140000000","36001110000","42907390000","69497400000","79167200000","74911900000","","126768600000","130547100000","214595940000","130547100000","426770400000","388573800000","413779500000","400523200000","73511430000","72399770000","187135350000","255674000000","319117000000","415205600000","540289320000","688088100000","465251450000","634098120000","586594590000","490762350000","448671720000","43853810000","56648390000","81267490000","1259262900000","1412767510000","770619190000","875368250000","827906500000","591987480000","699584830000","734057670000","955219290000","837238026509.573","948337108766.279","938346173391.605","965703570000","1307702760000","",
"Channel Islands","CHI","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73500000","34460000","59800000","46990000","8470000","12520000","2750000","780000","100000","","","","","","","","","","","","","","",
"Chile","CHL","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","753000000","449000000","221000000","107000000","100000000","144000000","755000000","1266000000","1525000000","1879000000","1577000000","1768840000","1921160000","2641310000","5298300000","11086000000","1078430000","7427600000","4299050000","6521940000","5763660000","4071120000","2661800000","7562670000","13081570000","20450590000","27812170000","45162640000","28872350000","37034010000","57925320000","51266630000","46491890000","41226990000","27130870000","19674570000","23973143323.6123","38092071235.1455","43564837993.389","36732170000","39727610000","",
"China","CHN","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39965300000","68172600000","77528800000","307739100000","371054900000","284389900000","","752583100000","462779500000","338208200000","388001840000","511495930000","392366700000","1158991130000","6305448050000","3905057640000","7830776640000","8257742340000","6673984990000","5027199160000","7695981020000","11959329140000","39326016590000","18295058830306.6","17223330026369.8","13070642237217.1","18247704170000","31580655980000","",
"Cote d'Ivoire","CIV","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19020000","75420000","32990000","8600000","17490000","24310000","50170000","34960000","107040000","164360000","291860000","240600000","227010000","116580000","174200000","367370000","398980000","521850000","","","","150790000","169100000","",
"Cameroon","CMR","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","357000000","490000000","124000000","62000000","54000000","43000000","52000000","105000000","95000000","101000000","108000000","358000000","828000000","908000000","2633000000","1202000000","2557000000","2389000000","3263000000","1382000000","1179000000","784000000","1031000000","805800000","2079600000","9548720000","15617180000","17247590000","18034040000","19849620000","22697170000","25946340000","32202940000","20409200000","17216000000","11586530000","14167836235.6802","13865382953.3394","13662415354.6522","13904860000","10000100000","",
"Comoros","COM","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11000000","21700000","15740000","13510000","17250000","32360000","208320000","","","","114900000","37580000","21900000","61830000","71690000","54460000","31340000","41350000","36830000","33600000","66100000","121660000","51860000","35960000","55370000","46230000","36600000","30280000","",
"Caribbean small states","CSS","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1580000","5800000","1400000","1900000","1000000","2540000","2540000","","","500000","","","9800000","3540000","1300000","",
"Cyprus","CYP","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28100000","88200000","296700000","458500000","402500000","700300000","6409000000","9541300000","3148800000","668000000","310300000","264700000","472800000","3146500000","4464700000","1794400000","1761280000","742500000","449200000","294610000","41220000","56610000","130900000","74231207.2892938","69126963.589139","55762847.6593797","56020000","38970000","",
"Czech Republic","CZE","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237500000","1527300000","2744870000","6329680000","5712390000","4725690000","3933790000","6650030000","3448100000","5922260000","8768390000","18009920000","34340240000","28778550000","37788550000","32280700000","26637000000","22077000000","20608000000","17535000000","12269000000","10777000000","","","","","","4228900000","",
"Germany","DEU","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","10495060000","10564960000","13172000000","18804000000","14821250000","14148550000","13701440000","14795290000","30886260000","26907560000","85608420000","151830690000","424407210000","345321000000","348053300000","542481790000","437577310000","430083960000","529576730000","603703230000","580134700000","149809670000","988221460000","1468731990000","1308493540000","1827236880000","1301049770000","871757290000","1017280520000","1181299170000","1288068410000","1950838200000","3254836700000","4189639200000","1787794400000","1494656830000","1573604310000","1249945420000","1312611820000","1269066800000","1444613090000","1124111807137.43","1558599058819.02","1616149822593.57","1350329600000","1814088890000","",
"Djibouti","DJI","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","54000000","65000000","49000000","62000000","62890000","54560000","56930000","55820000","168030000","159420000","1505520000","2055870000","2145550000","5000290000","13998180000","11894040000","10036490000","15204790000","20028360000","25793870000","26206400000","33809000000","43861170000","67133470000","55562340000","89909810000","66026060000","32507890000","43877390000","68190070000","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156911534000","186871860000","225613400000","398008370000","473646960000","357049140000","","844701830000","527515600000","419748591000","553471170000","707740480000","560060140000","1374652670000","6692042390000","4191871210151.19","8171667313864.72","8752547484328.82","7164012307844.71","5517321210000","8345468075493.91","12575486672365.4","39846042012132.4","18871678943366.7","17870892144814","13779189753720.3","18902873500000","32531304340000","",
"Early-demographic dividend","EAR","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217792140000","253393830000","219563200000","277510310000","893985877404.089","476311018382.804","405224823278.522","655958710505.306","1343421318892.26","2197937989409.92","2842166486429.83","2894311965348.74","2445519723974.31","2303257121502.82","2375333037347.98","1983064824634.71","2088903618294.27","1971554209532.57","2329996753288.32","2141447186647.97","2143522719214.11","2583608255423.08","2547583947029.85","2537905924766.56","4444686329001.35","",
"East Asia & Pacific","EAS","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","61867610000","94157480000","104637870000","195325440000","173103510000","205587450000","288875810000","193816620000","312817380000","357911800000","490380080000","1243591660000","2297570320000","2995355288000","3828330240000","2454190840000","1627420370000","1192987360000","1906315154000","2580440280000","2192374160000","2616045170000","3513033960000","2913999380000","4393549510000","5435553650000","3686416360000","3970047381000","4788762000000","6618876130000","7919014270000","10908599650000","20250875410000","15143477180151.2","17323798783864.7","18718334284328.8","17218113257844.7","13446028240000","18811593525493.9","21892526832365.4","51014251972132.4","28774385085468.6","29738882083135.8","26957757651389.9","29767975900000","50298635290000","",
"Europe & Central Asia (excluding high income)","ECA","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94041790000","115949890000","178966990000","267167730000","350113560000","815058950000","1621062420000","1382574680000","828543060000","914200930000","917811970000","701636120000","611670930000","530694830000","469700910000","422158882845.701","523644926275.096","518278089153.676","528882370000","1145802740000","",
"Europe & Central Asia","ECS","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","92212070000","91831930000","81871110000","106237390000","131852860000","155872060000","150525250000","69768350000","235082940000","243004600000","449780980000","567381470000","1534298290000","1227805360000","1409793310000","1620132090000","1154921610000","1136798550000","1585073140000","2010480890000","2160408160000","2117039060000","3837093560000","5739649510000","6751256260000","9756794020000","8153361940000","5629188880000","6470652340000","7736133910000","7797544280000","12021021920000","20254268510000","17065608120000","10838674150000","11038949620000","10684233180000","8540093150000","7980605740000","9996379350000","","","","","","","",
"Ecuador","ECU","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71300000","112500000","70200000","62200000","9400000","18300000","18300000","4800000","13200000","","","","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48363770000","61517870000","95826680000","74374270000","37215400000","15897550000","17093390000","12735110000","26440980000","14760100000","10080164453.5071","14428816885.2011","14477615046.3766","11164640000","16081080000","",
"Euro area","EMU","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","24990070000","24425930000","26086000000","43210000000","34658670000","38945300000","38948210000","32266350000","54816680000","53348920000","144396530000","303150980000","649096650000","516157020000","633451170000","872973500000","696106580000","674427710000","885233970000","1119803450000","1132782670000","865103570000","2159858930000","3628481670000","4457483970000","6564583090000","5144901630000","3700270050000","4272475020000","5271296570000","5434363140000","7962352840000","12836083960000","11147076570000","6110803570000","5703536360000","5605625870000","4565257300000","4800090080000","6194614830000","3822659060000","","","","","","",
"Eritrea","ERI","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","1807000000","1962000000","","2148000000","1119220000","887760000","1536270000","1206910000","1189500000","2285720000","3731060000","15808470000","40861730000","26273780000","39543850000","45237610000","48194420000","38079680000","45389680000","69287400000","65931590000","103558370000","190139930000","376134970000","1025852420000","1583553500000","1490411300000","453547920000","618319840000","860943370000","981438310000","1498503960000","2278395800000","1727120120000","1278007430000","1374271440000","1127592290000","864383240000","914963460000","991721470000","978396430000","646295000000","734350000000","623690935103.582","500184000000","489373000000","",
"Estonia","EST","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","691000000","280400000","332100000","258300000","230600000","615200000","899200000","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","25153070000","24616930000","26509000000","43696000000","36783860000","40796260000","42674640000","36936370000","64832110000","61978540000","156701810000","322130850000","670830600000","539819010000","665483750000","900532740000","726760770000","718499700000","948098230000","1240833810000","1264138970000","1041443960000","2370204890000","3909379980000","4742720030000","7060912780000","5524721710000","3934618340000","4540767420000","5701123290000","5520068780000","8080700760000","13025285230000","11264365830000","6224873390000","5824623940000","5719128760000","4656894510000","4898712310000","6272341000000","","","","","","","",
"Fragile and conflict affected situations","FCS","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","137600000","239160000","384000000","574030000","1976180000","6735730000","7099740000","7784920000","4138690000","1513030000","1958120000","7809610000","13296000000","19206500000","4532410000","34654130000","63595810000","105065650000","210660030000","179015230000","143783330000","142323710000","188759280000","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","5644990000","4013970000","3488000000","9519000000","9431940000","9418460000","7945300000","7161340000","7619230000","7006760000","17435720000","55352670000","89407880000","64377790000","110818280000","122115810000","123463900000","116743530000","160583800000","205528880000","211257340000","269928220000","393446810000","603976050000","723606290000","1080301380000","980888380000","1032545060000","1103021950000","1323735230000","1271455120000","2015577290000","2895762310000","2405976410000","1284109570000","1350174790000","1329956610000","1074477150000","1105516960000","1168618040000","1328364110000","","","","","","",
"Faroe Islands","FRO","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
