"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2017","939.34","939.18","949.07","935.54","1.57B","0.72%"
"12/10/2017","932.63","928.88","937.51","914.79","2.12B","0.49%"
"12/03/2017","928.11","946.48","952.10","923.02","1.79B","-0.98%"
"11/26/2017","937.31","927.27","948.48","912.33","1.83B","1.08%"
"11/19/2017","927.25","909.73","930.89","909.07","1.10B","2.02%"
"11/12/2017","908.91","891.80","912.60","884.25","1.67B","1.69%"
"11/05/2017","893.77","900.96","905.83","886.07","1.95B","-0.79%"
"10/29/2017","900.88","914.28","917.65","899.11","2.13B","-1.70%"
"10/22/2017","916.43","915.23","916.46","899.77","1.62B","0.29%"
"10/15/2017","913.75","909.58","916.28","901.99","1.45B","0.59%"
"10/08/2017","908.37","915.67","917.61","906.16","1.39B","-0.74%"
"10/01/2017","915.10","904.69","919.56","903.63","1.62B","1.23%"
"09/24/2017","903.98","874.19","905.51","871.95","1.75B","3.33%"
"09/17/2017","874.87","862.25","875.50","862.00","1.57B","1.63%"
"09/10/2017","860.84","844.28","861.07","844.28","1.76B","2.61%"
"09/03/2017","838.92","845.49","847.48","834.31","1.27B","-0.96%"
"08/27/2017","847.05","829.57","847.40","821.78","1.52B","2.34%"
"08/20/2017","827.65","818.06","829.50","814.00","1.50B","1.13%"
"08/13/2017","818.38","836.60","844.04","813.86","1.62B","-1.52%"
"08/06/2017","831.01","855.05","862.18","827.59","1.94B","-2.76%"
"07/30/2017","854.60","866.19","867.56","849.39","1.83B","-1.20%"
"07/23/2017","865.00","868.18","877.73","861.44","1.86B","-0.37%"
"07/16/2017","868.25","862.56","878.37","858.40","1.47B","0.64%"
"07/09/2017","862.70","852.66","864.58","844.11","1.56B","0.93%"
"07/02/2017","854.73","859.13","865.12","843.62","1.10B","-0.13%"
"06/25/2017","855.85","854.80","862.34","846.92","1.72B","0.31%"
"06/18/2017","853.17","856.25","858.75","840.25","1.92B","0.06%"
"06/11/2017","852.69","863.38","868.58","849.04","1.85B","-1.32%"
"06/04/2017","864.11","851.24","869.67","839.95","1.79B","1.43%"
"05/28/2017","851.91","836.06","858.91","822.45","1.43B","1.72%"
"05/21/2017","837.50","830.36","842.46","829.60","1.46M","1.13%"
"05/14/2017","828.12","840.90","848.04","819.37","1.67M","-1.24%"
"05/07/2017","838.54","848.31","851.99","837.33","1.64M","-1.23%"
"04/30/2017","848.96","853.77","857.71","839.87","1.85M","-0.28%"
"04/23/2017","851.36","850.38","866.81","847.58","1.84M","1.43%"
"04/16/2017","839.36","817.99","842.37","816.66","1.48M","2.91%"
"04/09/2017","815.62","828.35","837.02","815.56","1.20M","-1.43%"
"04/02/2017","827.49","844.78","845.10","818.08","1.59M","-1.98%"
"03/26/2017","844.17","816.10","846.69","812.63","1.54M","2.25%"
"03/19/2017","825.58","849.28","849.32","812.98","1.45M","-2.82%"
"03/12/2017","849.54","830.16","850.31","823.87","1.68M","2.32%"
"03/05/2017","830.27","845.72","845.72","825.42","1.48M","-2.25%"
"02/26/2017","849.38","852.18","863.54","845.64","1.69M","-0.45%"
"02/19/2017","853.19","857.17","862.38","845.29","1.21M","-0.22%"
"02/12/2017","855.10","852.95","858.94","846.97","1.40M","0.64%"
"02/05/2017","849.64","839.16","850.74","822.64","1.44M","0.99%"
"01/29/2017","841.34","833.85","841.95","820.91","1.57M","0.36%"
"01/22/2017","838.36","826.31","847.93","821.20","1.40M","1.31%"
"01/15/2017","827.56","837.19","837.19","821.38","993.83K","-1.46%"
"01/08/2017","839.86","838.14","843.07","824.73","1.37M","-0.04%"
"01/01/2017","840.17","844.23","857.72","836.46","1.14M","0.26%"
"12/25/2016","837.96","845.61","852.07","835.81","718.93K","-0.84%"
"12/18/2016","845.02","843.79","855.09","838.71","1.20M","0.35%"
"12/11/2016","842.04","856.42","857.73","836.71","1.98M","-1.80%"
"12/04/2016","857.50","814.26","858.99","814.26","1.65M","5.95%"
"11/27/2016","809.35","823.19","823.19","805.46","426.71K","-1.93%"
"11/20/2016","825.28","804.66","825.28","800.94","241.81K","2.77%"
"11/13/2016","803.00","785.93","803.15","785.93","436.79K","2.71%"
"11/06/2016","781.84","714.96","782.31","714.96","522.07K","10.56%"
"10/30/2016","707.17","719.56","724.23","702.99","415.32K","-1.59%"
"10/23/2016","718.63","737.53","742.30","716.60","357.03K","-2.08%"
"10/16/2016","733.89","736.50","742.63","728.99","284.44K","-0.38%"
